job_title,location,salary,sector
Microsoft C#.Net/ASP.Net Developer Job in Dallas,"Dallas, TX 75201",Competitive,Experienced (Non-Manager)
Customer Service Representative - Up to $ per hour Job in Dallas,"Dallas, TX 75229",17.00 - 20.00 $ /hour,Customer Support/Client Care
Diesel Mechanic-Class A Job in Dallas,"Dallas, TX 75228",22.00 - 25.00 $ /hour,Entry Level
Customer Service Representative Job in Dallas,"Dallas, TX 75207",$10.00+ /hourbonuses,Student (High School)
Esthetician Job in Dallas,"Dallas, TX 75225",Commissions based on sales,Student (High School)
Sales Associate Job in Irving,"Irving, TX 75060",10.00 - 11.50 $ /hourBonus,Experienced (Non-Manager)
Tax Accountant - Bilingual Job in Reynoldsburg,"Reynoldsburg, OH 43068","60,000.00 - 70,000.00 $ /year",Experienced (Non-Manager)
Senior Corporate Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
Sterilizer Field Service Technician Job in Dallas,"Dallas, TX","35,000.00 - 75,000.00 $ /yearCommissions, Bonuses, Overtime",Entry Level
Instructional Designer Job in Dallas,"Dallas, TX 75201","60,000.00 - 80,000.00 $ /year",Experienced (Non-Manager)
Insurance- Personal Lines Account Manger Job in Dallas,"Dallas, TX 75251","38,000.00 - 50,000.00 $ /yearBonus and Comp plan",Experienced (Non-Manager)
Senior Staff Accountant job in Dallas,"Dallas, TX 75201","55,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
Supervising Senior Accountant with upward mobility Job in Dallas,"Dallas, TX 75204","75,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
Regional Salesperson Job in Dallas,"Dallas, TX","$150,000.00+ /year",Experienced (Non-Manager)
Tutors (-) Job in Dallas,"Dallas, TX 75205",14.00 - 14.00 $ /hour,Entry Level
Senior Fixed Asset Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Systems Engineer I Job in Dallas,"Dallas, TX 75201","50,000.00 - 50,000.00 $ /year",Entry Level
Microsoft Exchange Administrator Job in Dallas,Microsoft Exchange Administrator,1.00 - 1.00 $ /hour,IT/Software Development
Well-Respected Commercial/Residential/International Real Estate Firm Seeks Accountant - K/Bonus! Job in Dallas,"Dallas, TX 75214","0.00 - 70,000.00 $ /yearBonus",Experienced (Non-Manager)
Payroll Specialists Job in Dallas,"Dallas, TX","55,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
Sales Representative- Dallas/Fort Worth,"Dallas, TX 75201","95,000.00 - 125,000.00 $ /year",Sales/Retail/Business Development
Outside Sales Representative Job in Dallas,"Dallas, TX",Based on Experience,Experienced (Non-Manager)
CBD Provisions| General Manager Job in Dallas,"Dallas, TX 75201","80,000.00 - 90,000.00 $ /yearYearly Bonus",Manager (Manager/Supervisor of Staff)
Senior Property Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Sales Representative Job in Dallas,"Dallas, TX","40,000.00 - 50,000.00 $ /year10,000-20,000",Experienced (Non-Manager)
HRIS Workday Professional Job in Dallas,"Dallas, TX 75204","0.00 - 100,000.00 $ /year",Experienced (Non-Manager)
Classic ASP Developer Job in Dallas,"Dallas, TX 75201",0.00 - 45.00 $ /hour,Experienced (Non-Manager)
Food Production Supervisor Job in Dallas,"Dallas, TX 75243","45,000.00 - 55,000.00 $ /year",Manager (Manager/Supervisor of Staff)
SAS Analyst Job in Dallas,"Dallas, TX","95,000.00 - 105,000.00 $ /year",IT/Software Development
CRANE MAINTENANCE TECHNICIAN Job in Irving,"Irving, TX 75061",20.00 - 30.00 $ /hourOT Available,Experienced (Non-Manager)
Data Analyst Job in Dallas,"Dallas, TX 75201","90,000.00 - 95,000.00 $ /year",Experienced (Non-Manager)
Senior Accountant Job in Dallas,DallasTX,"60,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Credit Analyst Job in Dallas,"Dallas, TX","40,000.00+ /year",Experienced (Non-Manager)
Senior Oracle Programmer / Analyst Job in Dallas,"Dallas, TX 75201","110,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
Accounts Receivable Specialist Job in Dallas,"Dallas, TX","39,000.00+ /year",Experienced (Non-Manager)
Accounts Payable Specialist Job in Dallas,DallasTX,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
Part-Time Maintenance Manager Job in Dallas,"Dallas, TX 75205",20.00 - 25.00 $ /hour,Experienced (Non-Manager)
Quality Assurance Manager Job in Dallas,"Dallas, TX 75236",Competitive salary and benefits,Manager (Manager/Supervisor of Staff)
Cognos Developer Job in Dallas,"Dallas, TX","95,000.00 - 105,000.00 $ /year",Experienced (Non-Manager)
Senior Financial Analyst job in Dallas,"Dallas, TX 75204","80,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Forklift Operator Job in Irving,"Irving, TX 75039",11.50 - 12.50 $ /hour,Experienced (Non-Manager)
Breakfast/Lunch Shift Server - DoubleTree by Hilton Dallas-Love Field Job in Dallas,"Dallas, TX 75235",Based on experience,Experienced (Non-Manager)
Sales Professional Job in Dallas,"Dallas, TX","$40,000.00+ /yearStarting base $40K or higher (based on experience) + Commission(negotiable)",Experienced (Non-Manager)
Sr. Systems Administrator Job in Irving,"Irving, TX",35.00 - 45.00 $ /hour,IT/Software Development
MAINTENANCE MECHANICS Job in Dallas,"Dallas, TX 75227",20.00 - 25.00 $ /hourBONUSES,Experienced (Non-Manager)
Assistant Manager - Dallas Job in Dallas,"Dallas, TX 75202",#NAME?,Manager (Manager/Supervisor of Staff)
Senior Property Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
Shipping and Receiving Clerk Job in Dallas,"Dallas, TX 75243",10.00 - 12.00 $ /hour,Logistics/Transportation
Bank Teller Job in Dallas,"Dallas, TX 75243",12.00 - 14.00 $ /hour,Customer Support/Client Care
Facilities Maintenance Technician Job in Dallas,"Dallas, TX 75241",12.00 - 16.00 $ /hour,Experienced (Non-Manager)
Retail District Manager - $K + Great Benefits - Dallas,"Highland Park, TX 75205","$85,000.00+ /year",Manager (Manager/Supervisor of Staff)
Lab Technician Job in Dallas,"Dallas, TX",13.00 - 15.00 $ /hour,Experienced (Non-Manager)
Part Time Busser - DoubleTree by Hilton Dallas-Love Field Job in Dallas,"Dallas, TX 75235",Based on experience,Experienced (Non-Manager)
Accounts Payable Clerk Job in Dallas,"Dallas, TX",16.00+ /hour,Accounting/Finance/Insurance
Senior Staff Accountant job in Dallas,"Dallas, TX 75204","60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
A/V and Structured Cable Project Manager Job in Dallas,"Dallas, TX 75201","50,000.00 - 85,000.00 $ /yeargreat bonus potential and full benefits",Manager (Manager/Supervisor of Staff)
Leasing Consultant Job in Columbus,"Columbus, OH 43230",Hourly Plus Commissions,Experienced (Non-Manager)
Infection Control Nurse - RN Job in Dallas,"Dallas, TX 75201","50,000.00 - 80,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Receptionist - Dallas,"Dallas, TX 75220",12.00 - 14.00 $ /hourFull benefits. Profit sharing.,Entry Level
Senior Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
Senior Financial Reporting Analyst job in Dallas,"Dallas, TX 75201","80,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Maintenance Engineer - Hilton Garden Inn Dallas Market Center Job in Dallas,"Dallas, TX 75207",Based on experience - Please apply in pe,Experienced (Non-Manager)
Oil & Gas Accounting Manager Job in Dallas,"Dallas, TX 75206","70,000.00 - 80,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Foreclosure Specialist Job in Dallas,"Dallas, TX 75254",15.00 - 18.00 $ /year,Banking/Real Estate/Mortgage Professionals
Variable Refrigerant Flow / VRF Sales Engineer Job in Dallas,"Dallas, TX 75201","100,000.00 - 105,000.00 $ /yearup to $60,000+ in commission",Experienced (Non-Manager)
Financial Consultant - Part-Time $,"Irving, TX 75039","31,000.00 - 250,000.00 $ /year",Sales/Retail/Business Development
Senior Financial Analyst job in Dallas,"Dallas, TX 75201","75,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Property Manager Job in Columbus,"Columbus, OH 43229",Attractive Bonus Potential and Great Benefits,Manager (Manager/Supervisor of Staff)
Paralegal Job in Dallas,"Dallas, TX 75206",20.00 - 35.00 $ /hour,Experienced (Non-Manager)
Staff Accountant Job in Dallas,DallasTX,24.00 - 25.00 $ /hour,Accounting/Finance/Insurance
Warehouse Associate Job in Dallas,"Dallas, TX 75229",16.50 - 25.00 $ /hour,Logistics/Transportation
Commercial Collector Job in Dallas,DallasTX,0.00 - 21.00 $ /hour,Accounting/Finance/Insurance
Advertising Sales Representative Job in Worthington,"Randstad Professional is currently hiring an Advertising Sales Representative in the Columbus, OH area for a company which provides media solutions, in both print and digital media. The candidate should look to achieve revenue growth targets through the development, advancement and closure of new and existing client opportunities. Â They must also successfully manage a book of business with expected revenue growth year over year. The job duties and required qualifications are listed below.Job Duties:Drive profitable incremental sales growth on existing accounts within a defined geography.Â Create revenue growth through new customer acquisition via proven prospecting techniques such as cold calling, networking and referrals.Identify and communicate commercial insights to clients and prospects that will generate sales calls with key decision makers.Complete sales calls for the purpose of identifying and capturing all revenue opportunities.Leverage strong time management skills to insure timely execution of customer and deliverables.Obtain and understand Customers' marketing and advertising requirements and objectives.Â Learn how customers' consumer marketing, advertising and trade/sales dollars are being spent and competing for every order.Effectively work through internal processes with partner groups to ensure the execution of clientÂ advertisingÂ campaigns from start to finish.Qualifications:Â BA/BS degree or equivalent experience.2+ years of outside sales experience using a consultative, solution selling approach.Will be growing all new businessTitle: Advertising Sales RepresentativeIndustry: Marketing and AdvertisingLocation: Columbus, OHPay Range: $40k base + uncapped commission ($70k+ expected for first year)If interested, please apply to the position, or email Maddy Lawniczak at maddy.lawniczak@randstadusa.com (with resume attached) to schedule a call.Â ","40,000.00 - 70,000.00 $ /year",Sales/Retail/Business Development
LICENSED AGENTS / GROUP BENEFIT ENROLLERS Job in Dallas,"Dallas, TX 75206","60,000.00 - 80,000.00 $ /year",Insurance Agent/BrokerGeneral/Other: Sales/Business DevelopmentFinancial Products Sales/Brokerage
Management Development Program- Claims Job in Farmers Branch,"Farmers Branch, TX 75244","$44,000.00+ /year",Accounting/Finance/Insurance
Senior Accountant,"Dallas, TX 75201","75,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Staff Accountant job in Dallas,"Dallas, TX 75201","55,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
Administrative Assistant Job in Dallas,"Dallas, TX",15.00 - 17.00 /hour,Administrative/Clerical
Senior Accountant Job in Irving,IrvingTX,0.00 - 29.00 $ /hour,Accounting/Finance/Insurance
Accounts Payable Specialist Job in Dallas,DallasTX,0.00 - 19.00 $ /hour,Accounting/Finance/Insurance
Senior Staff Accountant job in Dallas,"Dallas, TX 75201","55,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
Chemical Engineer Job in Dallas,"Dallas, TX","70,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
HVAC Service Tech - Seasonal (Dallas,"Dallas, TX 75201",Commensurate with Experience,Experienced (Non-Manager)
Bell/Diver - Embassy Suites DFW South Job in Irving,"Irving, TX 75062",8,Experienced (Non-Manager)
Compounding Pharmacist - PIC Job in Dallas,"Dallas, TX 75206","100,000.00 - 120,000.00 $ /yearBonus",Manager (Manager/Supervisor of Staff)
Network Engineer Job in Dallas,"Dallas, TX",40.00 - 45.00 $ /year,Sales/Retail/Business Development
Control System Engineer Job in Dallas,"Dallas, TX",20.00 - 25.00 /hour,IT/Software Development
Lead Data Analyst Job in Dallas,"Dallas, TX 75226",16.00 - 16.00 $ /hour,Manager (Manager/Supervisor of Staff)
Business Development / Outside Sales Virtual Job in Dallas,"Dallas, TX","Full Commission, Base plus options",Experienced (Non-Manager)
iOS Developer Job in Dallas,"Dallas, TX 75204",60.00 - 80.00 $ /hour,IT/Software Development
Regional Sales Manager - Dallas,"Dallas, TX",Base + commission that can double or triple your income,Experienced (Non-Manager)
Staff Accountant job in Dallas,"Dallas, TX 75201","50,000.00 - 55,000.00 $ /year",Accounting/Finance/Insurance
Sales Representative Job in Dallas,"Dallas, TX 75207","35,000.00 - 40,000.00 $ /yearThis will be for the first year and will change",Entry Level
Accounting Manager Job in Dallas,"Dallas, TX","110,000.00+ /year",Manager (Manager/Supervisor of Staff)
Legal Assistant Job in Dallas,"Dallas, TX",$15.00+ /hour,Legal
IT Director Job in Dallas,"Dallas, TX 75204","90,000.00 - 115,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Sales Representative Job in Dallas,"Dallas, TX 75218",10.00 - 14.00 $ /hour,Sales/Retail/Business Development
Digital Marketing Sales Consultant Job in Dallas,"Dallas, TX 75201",Base + Commission Plan,Experienced (Non-Manager)
Sr. .Net Developer Job in Dallas,"Dallas, TX",50.00 - 75.00 $ /hour,IT/Software Development
Senior Staff Accountant job in Dallas,"Dallas, TX 75201","60,000.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
Staff Accountant job in Dallas,"Dallas, TX 75201","55,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
Senior Accountant (part-time) Job in Dallas,"Dallas, TX 75206",25.00 - 30.00 $ /hour,Experienced (Non-Manager)
Jr. Population Health Analyst Job in Dallas,"Dallas, TX",25.00 - 35.00 $ /hour,Systems Analysis - IT
HR Assistant Job in Dallas,"Dallas, TX",17.00 - 21.00 /hour,Human Resources
Assistant Controller Job in Dallas,"Dallas, TX 75201","85,000.00 - 95,000.00 $ /year",Accounting/Finance/Insurance
MDS Nurse Job in Irving,"Irving, TX 75061",Salary DOE,Manager (Manager/Supervisor of Staff)
Room Attendants & Housemen - Hilton Garden Inn Dallas Market Center Job in Dallas,"Dallas, TX 75207",Based on experience - Please apply in pe,Experienced (Non-Manager)
Human Resources Internship Job in Dallas,"Dallas, TX 75201",Hourly,Student (Undergraduate/Graduate)
Cook - Hilton Garden Inn Dallas Market Center Job in Dallas,"Dallas, TX 75207",$12.50-13.00,Experienced (Non-Manager)
Marketing Sales & Brand Management Job in Columbus,"Columbus, OH 43219","30,000.00 - 55,000.00 $ /yearAggressive Base Pay + Bonus Structure",Entry Level
Senior Accountant job in Dallas,"Dallas, TX 75204","65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
Security Officer Job in Dallas,"Dallas, TX 75225",$11.50+ /hour,Entry Level
Continuous Improvement Agent Job in Dallas,"Dallas, TX 75202","4,900.00 - 6,125.00 $ /month",Experienced (Non-Manager)
Android Mobile Application Developer Job in Dallas,"Dallas, TX",40.00 - 60.00 $ /hour,IT/Software Development
Maintenance Technician Job in Columbus,"Columbus, OH 43207","35,000.00 - 46,000.00 $ /yearpaid overtime",Experienced (Non-Manager)
Marketing Analytics Manager Job in Dallas,"Dallas, TX",Competitive,Manager (Manager/Supervisor of Staff)
Real Estate Legal Secretary Job in Dallas,"Dallas, TX",BOE,Experienced (Non-Manager)
Java Developer Job in Dallas,"Dallas, TX 75201","90,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
Maintenance Engineer - Embassy Suites DFW South Job in Irving,"Irving, TX 75062",12.5,Experienced (Non-Manager)
Administrative Coordinator Job in Dallas,"Dallas, TX",mid,Experienced (Non-Manager)
New Restaurant Opening- Wolfgang Puck at DFW Airport Hiring ALL POSITIONS Job in Dallas,"Dallas, TX","Competitive salary, with performance bonus",Entry Level
st Time Manager: Entry Level Business Management Job in Dallas,"Dallas, TX","35,000.00 - 55,000.00 $ /year",Business/Strategic Management
Accounting Assistant Job in Dallas,DallasTX,17.00 - 18.00 $ /year,Accounting/Finance/Insurance
Campus Facilities Manager Job in Dallas,"Dallas, TX 75241","60,000.00 - 70,000.00 $ /yearHealth Insurance, Vacation",Manager (Manager/Supervisor of Staff)
Accounts Payable/Accounts Receivable Representative Job in Dallas,"Dallas, TX",17.00 - 21.00 /hour,Accounting/Finance/Insurance
Customer Service Representative Job in Dallas,"Dallas, TX",12.00 - 15.00 $ /hour,Experienced (Non-Manager)
PM Bell/Driver - Embassy Suites DFW South Job in Irving,"Irving, TX 75062",8,Experienced (Non-Manager)
Commercial Collections Specialist Job in Dallas,DallasTX,0.00 - 18.00 $ /hour,Accounting/Finance/Insurance
ERP Consultant Job in Dallas,"Dallas, TX 75240","40,000.00 - 60,000.00 $ /year",Entry Level
Financial Reporting Manager job in Dallas,"Dallas, TX 75201","90,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
Executive Chef - Sous Chef Job in Dallas,"Dallas, TX","45,000.00 - 80,000.00 $ /yearBonus, Benefits, 401k",Manager (Manager/Supervisor of Staff)
Medical Cash Applications Specialist Job in Dallas,DallasTX,0.00 - 17.50 $ /hour,Accounting/Finance/Insurance
General Laborer Job in Dallas,"Dallas, TX 75207",9.50 - 11.50 $ /hour,Entry Level
Entry Level Management Job in Dallas,"Dallas, TX","W-2, Weekly Paycheck, Great Compensation Package and Incentives",Entry Level
IT Help Desk Job in Dallas,"Dallas, TX",16.00 - 20.00 /hour,IT/Software Development
Senior Property Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Accounting Analyst job in Dallas,"Dallas, TX 75204","60,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Fitness Equipment Sales Professional Job in Dallas,"Dallas, TX","$25,000.00+ /yearAdditional Spiffs",Experienced (Non-Manager)
Entry Level Staff Accountant jobs in Irving,"Irving, TX 75039","40,000.00 - 45,000.00 $ /year",Accounting/Finance/Insurance
Human Resources Administrator Job in Dallas,"Dallas, TX","38,000.00+ /year",Human Resources
Lead Development Representative Job in Dallas,"Dallas, TX 75201",Base + Commission,Entry Level
Lead Software Engineer Job in Dallas,"Dallas, TX 75201","40,000.00 - 50,000.00 $ /year",Experienced (Non-Manager)
Restaurant Manager Job in Dallas,"Dallas, TX","36,000.00 - 55,000.00 $ /year",Food Services/Hospitality
Bookkeeper Job in Dallas,"Dallas, TX",16.00 - 21.00 /hour,Accounting/Finance/Insurance
Accounting Manager with upward mobility Job in Dallas,"Dallas, TX 75204","80,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
Supervising Senior Accountant job in Dallas,"Dallas, TX 75201","75,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Application Engineer - Experience with Pumps Job in Dallas,"Dallas, TX","70,000.00 - 85,000.00 $ /year+ Bonus / Relocation Provided",Experienced (Non-Manager)
LED Lighting Consultant Job in Dallas,"Dallas, TX 75219","40,000.00 - 45,000.00 $ /yearSEP Bonus up to 25% of salary",Experienced (Non-Manager)
Sales / Project Developer Job in Dallas,"Dallas, TX","60,000.00 - 130,000.00 $ /year",Experienced (Non-Manager)
Senior Financial Reporting Accountant,"Dallas, TX 75201","75,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Senior Corporate Accountant job in Dallas,"Dallas, TX 75204","65,000.00 - 75,000.00 $ /year",Accounting/Finance/Insurance
Sr. Security Engineer Job in Dallas,"Dallas, TX","100,000.00 - 115,000.00 $ /year",IT/Software Development
Quality Assurance Leader (Do you have the capability to be a QA Mgr. in  years?)) Job in Dallas,"Dallas, TX","65,000.00 - 70,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Office Assistant Job in Dallas,"Dallas, TX",13.00 - 14.00 /hour,Administrative/Clerical
REGIONAL PROPERTY MANAGER - OHIO Job in Columbus,"Columbus, OH 43220",bonus eligible,Manager (Manager/Supervisor of Staff)
IT Project Manager / IT Engineer (TX/KK/) Job in Dallas,"Dallas, TX","70,000.00 - 80,000.00 $ /yearBonus",Experienced (Non-Manager)
Staffing Sales and Account Management Job in Dallas,"Dallas, TX 75243","35,000.00 - 40,000.00 $ /yearCommission",Experienced (Non-Manager)
Controller / Office - Business Manager Job in Dallas,"Dallas, TX 75204","80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
Internal Audit Job in Dallas,"Dallas, TX 75201","60,000.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
Japanese-English Bilingual Operation Coordinator Job in Dallas,"Dallas, TX 75202","35,000.00 - 40,000.00 $ /yearFull Benefits Package",Experienced (Non-Manager)
Director of Nursing,"Dallas, TX","105,000.00 - 110,000.00 $ /year",Medical/Health
Account Manager / Sales Representative Job in Dallas,"Dallas, TX 75243","40,000.00 - 50,000.00 $ /year",Sales/Retail/Business Development
Finance Manager- Real Estate Job in Dallas,"Dallas, TX","100,000.00+ /year",Experienced (Non-Manager)
Insurance Application Specialist Job in Dallas,"Dallas, TX 75206",16.00 - 19.00 $ /hour,Experienced (Non-Manager)
Cloud Engineer Job in Columbus,Cloud Engineer,70.00 - 85.00 $ /hour,IT/Software Development
Outside Sales - Construction Services / Security Job in Dallas,"Dallas, TX","40,000.00 - 40,000.00 $ /yearGenerous commission structure on top of salary, $100k+ potential",Experienced (Non-Manager)
Customer Service Sales Rep Job in Columbus,"Columbus, OH 43219","30,000.00 - 50,000.00 $ /yearAggressive Weekly Base + Uncapped Commission",Entry Level
NetExpert / Fault Management Engineer Job in Dallas,"Dallas, TX",50.00 - 65.00 $ /hour,Experienced (Non-Manager)
Outside Sales Representative Job in Dallas,"Dallas, TX","48,000.00 - 48,000.00 $ /yearPotential to earn $60,000 - $70,000",Experienced (Non-Manager)
Director of Supply Chain Job in Dallas,"Dallas, TX 75204",Competitive base salary and bonus,Manager (Manager/Supervisor of Staff)
LEAD MEDICAL ASSISTANT (Supervisor) Job in Dallas,"Dallas, TX 75204","33,280.00 - 35,000.00 $ /year",Manager (Manager/Supervisor of Staff)
General Manager - Upscale Casual Growth Concept Job in Dallas,"Dallas, TX","75,000.00 - 90,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Inside Sales Manager Job in Garland,"Garland, TX 75041",Negotiable based on experience,Manager (Manager/Supervisor of Staff)
Staff Accountant Job in Dallas,"Dallas, TX 75219","0.00 - 65,000.00 $ /year",Accounting/Finance/Insurance
SQL Server Consultant,"Dallas, TX 75235","60,000.00 - 80,000.00 $ /year",Experienced (Non-Manager)
Photographer / Sales Representative Job in Dallas,"Dallas, TX 75202",150.00 - 300.00 $ /per daycommission,Experienced (Non-Manager)
Certified Nursing Assistant (CNA) Job in Irving,"Irving, TX 75061",$10.00+ /hour,Entry Level
Medical Sales Representative Job in Dallas,"Dallas, TX 75231",Base + Commission,Experienced (Non-Manager)
Revenue Accountant Job in Irving,"Irving, TX 75062","70,000.00 - 80,000.00 $ /year",Experienced (Non-Manager)
Java Developer Server Side Development Job in Dallas,"Dallas, TX 75201",70.00 - 80.00 $ /hour,Experienced (Non-Manager)
Customer Support Representative - DFW Job in Dallas,"Dallas, TX","50,000.00 - 70,000.00 $ /yearDOE",Experienced (Non-Manager)
Financial Cost Analyst Job in Irving,IrvingTX,"0.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Senior Accountant Job in Irving,"Irving, TX","70,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
Leasing Agent - Apartment Job in Columbus,"Columbus, OH 43229",Very Attractive Bonus Potential,Experienced (Non-Manager)
Division Service Manager,"Dallas, TX",Salary based upon experience (Base + Bonus),Manager (Manager/Supervisor of Staff)
Senior Accountant job in Dallas,"Dallas, TX 75201","65,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Systems Engineer I Job in Dallas,"Dallas, TX 75201","50,000.00 - 50,000.00 $ /year",Entry Level
Sales Executive - Optical Job in Dallas,"Dallas, TX 75201","25,000.00 - 100,000.00 $ /yearBonus",Experienced (Non-Manager)
Campaign and Event Marketing Coordinator - Marketing & Events Job in Dallas,"Dallas, TX","W-2, Weekly Paycheck, Great Compensation Package and Incentives",Entry Level
Staff Accountant job in Dallas,"Dallas, TX 75201","50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
Senior Accountant Job in Dallas,DallasTX,0.00 - 32.50 $ /hour,Accounting/Finance/Insurance
Customer Engagement Specialist Job in Dallas,"Dallas, TX","40,000.00 - 60,000.00 $",Experienced (Non-Manager)
HRIS Analyst Job in Dallas,DallasTX,"80,000.00 - 90,000.00 $ /year",Human Resources
st Time Manager: Entry Level Business Management Job in Dallas,"Dallas, TX","35,000.00 - 55,000.00 $ /year",Business/Strategic Management
Staff Accountant Job in Dallas,"Dallas, TX 75207","38,000.00 - 42,000.00 $ /year",Experienced (Non-Manager)
Energy Sales Executive Job in Dallas,"Dallas, TX","21,400.00 - 55,000.00 $ /year",Sales/Retail/Business Development
Part Time Floating Property Manager Job in Columbus,"Columbus, OH 43213",12.00 - 13.00 $ /hourPlus Commission,Manager (Manager/Supervisor of Staff)
Account Sales Manager - Entry Level Job in Columbus,"Columbus, OH 43219","30,000.00 - 50,000.00 $ /yearBase Pay + Uncapped Commission / Bonus Structure",Entry Level
Extrusion Supervisor: Plastic Flexible Packaging Job in Dallas,"Plastic Extrusion Shift Manager â€“ Flexible PackagingÂ -- Direct Hire with benefits and relocationÂ  --Â Your information will be held highly confidential â€“ apply with confidence. Â Location:Â East Dallas, TX (not commutable from some of Dallas â€“ we will discuss on the phone) Compensation: Up to $65K + annual bonus + relocation packageSpecial Knowledge needed:Â Plastic Film Extrusion and/or Film converting & Web handlingÂ Shift: some off-shift work will be done.Â  Not a fully 1st shift position. So consider this nights.Â Â The CompanyYou have a chance to work for a plastic extrusion company that is not too big and not too small, offering benefits of both of those worlds.Â  This is a growing, medium-large sized flexible packaging company with 20 plants in North America, offering competitive salary, strong bonus program, solid benefits and 401K plan.Â  While the company is not the size of Bemis or Berry Plastics, it is a major player in the flexible packaging world.Â Â  You can enjoy having the stability of working for a profitable, multi-national company that has been around for decades. This plant offers ample salaried and hourly staff support of plastic packaging professionals who have been with the company for 3-20 years â€“ this plant has well a tenured staff!Â Â  You will be in charge of a production crew of around 110 employees.Â  Â The Job This is a direct hire opening with benefits and annual bonus.Â  The main objective of this opening is to bring plastic extrusion knowledge, support, and people management skills.Â  There will be multiple departments under your wing as you run a shift: extrusion, converting, plastics reclaim, etc.Â  Your main objective will be to provide management and extrusion hands-on expertise to analyze plant performance (KPI's), correct any training issues in multiple departments, and effectively communicate solutions to performance issues down to the operator level. You will need to have a supervision or management background in film or sheet extrusion, and/or plastic film web handling and converting. Â The recruiting processWe will have a brief, initial discussion so you can decide if this is worth putting your name in the hat. Then we will roll into a 20 minute discussion about your areas of expertise, accomplishments, and motivations to consider a potential move. After that, I will work to get you an interview with the company.Â  This company usually conducts a phone interview and two face-to-face interviews. Â Â Requirements of Plastic Extrusion Shift Supervisor3+ years managing / supervising in plastic film, flexible packaging, and / or plastic sheet manufacturing facilitiesÂ You know how to run equipment, start up, shut down, changeovers - plastic extrusion (although this is not an overly hands-on position). Plastic Extrusion, cast film, sheet extrusion and thermoforming, blown film.Flexible Plastic web handling / converting experience is a bonus","57,500.00 - 64,500.00 $ /year",Manufacturing/Production/Operations
Legal Assistant - Pre-Litigation Job in Dallas,"Dallas, TX 75206",15.00 - 25.00 $ /year,Experienced (Non-Manager)
Senior Fund Accountant job in Dallas,"Dallas, TX 75201","75,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
Office Furniture Salesperson Job in Dallas,"Dallas, TX 75220",Commission,Experienced (Non-Manager)
Staff Accountant Job in Dallas,DallasTX,"45,000.00 - 50,000.00 $ /year",Accounting/Finance/Insurance
Broiler Cook - The Highland Dallas Job in Dallas,"Dallas, TX 75206",$13.50 to $14.00 depending upon experien,Experienced (Non-Manager)
Audit and Tax Senior - Audit and Tax Manager Job in Dallas,"Dallas, TX 75221","60,000.00 - 109,500.00 $ /yearBonus",Experienced (Non-Manager)
